"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","HUR","TOT","PC_LF","M","2008-01",5.826397,"E"
"OECD","HUR","TOT","PC_LF","M","2008-02",5.796339,"E"
"OECD","HUR","TOT","PC_LF","M","2008-03",5.845147,"E"
"OECD","HUR","TOT","PC_LF","M","2008-04",5.819752,"E"
"OECD","HUR","TOT","PC_LF","M","2008-05",5.947182,"E"
"OECD","HUR","TOT","PC_LF","M","2008-06",6.052089,"E"
"OECD","HUR","TOT","PC_LF","M","2008-07",6.145418,"E"
"OECD","HUR","TOT","PC_LF","M","2008-08",6.256654,"E"
"OECD","HUR","TOT","PC_LF","M","2008-09",6.315791,"E"
"OECD","HUR","TOT","PC_LF","M","2008-10",6.455865,"E"
"OECD","HUR","TOT","PC_LF","M","2008-11",6.773358,"E"
"OECD","HUR","TOT","PC_LF","M","2008-12",7.053533,"E"
"OECD","HUR","TOT","PC_LF","M","2009-01",7.377474,"E"
"OECD","HUR","TOT","PC_LF","M","2009-02",7.714617,"E"
"OECD","HUR","TOT","PC_LF","M","2009-03",8.00935,"E"
"OECD","HUR","TOT","PC_LF","M","2009-04",8.203997,"E"
"OECD","HUR","TOT","PC_LF","M","2009-05",8.390429,"E"
"OECD","HUR","TOT","PC_LF","M","2009-06",8.445221,"E"
"OECD","HUR","TOT","PC_LF","M","2009-07",8.512843,"E"
"OECD","HUR","TOT","PC_LF","M","2009-08",8.572953,"E"
"OECD","HUR","TOT","PC_LF","M","2009-09",8.658244,"E"
"OECD","HUR","TOT","PC_LF","M","2009-10",8.681934,"E"
"OECD","HUR","TOT","PC_LF","M","2009-11",8.647502,"E"
"OECD","HUR","TOT","PC_LF","M","2009-12",8.60458,"E"
"OECD","HUR","TOT","PC_LF","M","2010-01",8.714856,"E"
"OECD","HUR","TOT","PC_LF","M","2010-02",8.670042,"E"
"OECD","HUR","TOT","PC_LF","M","2010-03",8.64928,"E"
"OECD","HUR","TOT","PC_LF","M","2010-04",8.699917,"E"
"OECD","HUR","TOT","PC_LF","M","2010-05",8.555448,"E"
"OECD","HUR","TOT","PC_LF","M","2010-06",8.456419,"E"
"OECD","HUR","TOT","PC_LF","M","2010-07",8.439497,"E"
"OECD","HUR","TOT","PC_LF","M","2010-08",8.404276,"E"
"OECD","HUR","TOT","PC_LF","M","2010-09",8.418348,"E"
"OECD","HUR","TOT","PC_LF","M","2010-10",8.437276,"E"
"OECD","HUR","TOT","PC_LF","M","2010-11",8.467258,"E"
"OECD","HUR","TOT","PC_LF","M","2010-12",8.343364,"E"
"OECD","HUR","TOT","PC_LF","M","2011-01",8.217115,"E"
"OECD","HUR","TOT","PC_LF","M","2011-02",8.178089,"E"
"OECD","HUR","TOT","PC_LF","M","2011-03",8.074423,"E"
"OECD","HUR","TOT","PC_LF","M","2011-04",8.098475,"E"
"OECD","HUR","TOT","PC_LF","M","2011-05",8.119513,"E"
"OECD","HUR","TOT","PC_LF","M","2011-06",8.158542,"E"
"OECD","HUR","TOT","PC_LF","M","2011-07",8.125783,"E"
"OECD","HUR","TOT","PC_LF","M","2011-08",8.10664,"E"
"OECD","HUR","TOT","PC_LF","M","2011-09",8.125084,"E"
"OECD","HUR","TOT","PC_LF","M","2011-10",8.088227,"E"
"OECD","HUR","TOT","PC_LF","M","2011-11",8.103456,"E"
"OECD","HUR","TOT","PC_LF","M","2011-12",8.099805,"E"
"OECD","HUR","TOT","PC_LF","M","2012-01",8.034623,"E"
"OECD","HUR","TOT","PC_LF","M","2012-02",8.122223,"E"
"OECD","HUR","TOT","PC_LF","M","2012-03",8.099187,"E"
"OECD","HUR","TOT","PC_LF","M","2012-04",8.119148,"E"
"OECD","HUR","TOT","PC_LF","M","2012-05",8.112735,"E"
"OECD","HUR","TOT","PC_LF","M","2012-06",8.085302,"E"
"OECD","HUR","TOT","PC_LF","M","2012-07",8.095864,"E"
"OECD","HUR","TOT","PC_LF","M","2012-08",8.072775,"E"
"OECD","HUR","TOT","PC_LF","M","2012-09",8.051333,"E"
"OECD","HUR","TOT","PC_LF","M","2012-10",8.097006,"E"
"OECD","HUR","TOT","PC_LF","M","2012-11",8.162972,"E"
"OECD","HUR","TOT","PC_LF","M","2012-12",8.205923,"E"
"OECD","HUR","TOT","PC_LF","M","2013-01",8.296762,"E"
"OECD","HUR","TOT","PC_LF","M","2013-02",8.205564,"E"
"OECD","HUR","TOT","PC_LF","M","2013-03",8.140474,"E"
"OECD","HUR","TOT","PC_LF","M","2013-04",8.161079,"E"
"OECD","HUR","TOT","PC_LF","M","2013-05",8.092375,"E"
"OECD","HUR","TOT","PC_LF","M","2013-06",8.039981,"E"
"OECD","HUR","TOT","PC_LF","M","2013-07",7.944623,"E"
"OECD","HUR","TOT","PC_LF","M","2013-08",7.968368,"E"
"OECD","HUR","TOT","PC_LF","M","2013-09",7.93522,"E"
"OECD","HUR","TOT","PC_LF","M","2013-10",7.861694,"E"
"OECD","HUR","TOT","PC_LF","M","2013-11",7.792149,"E"
"OECD","HUR","TOT","PC_LF","M","2013-12",7.712813,"E"
"OECD","HUR","TOT","PC_LF","M","2014-01",7.683796,"E"
"OECD","HUR","TOT","PC_LF","M","2014-02",7.699445,"E"
"OECD","HUR","TOT","PC_LF","M","2014-03",7.693913,"E"
"OECD","HUR","TOT","PC_LF","M","2014-04",7.518529,"E"
"OECD","HUR","TOT","PC_LF","M","2014-05",7.502364,"E"
"OECD","HUR","TOT","PC_LF","M","2014-06",7.423281,"E"
"OECD","HUR","TOT","PC_LF","M","2014-07",7.457124,"E"
"OECD","HUR","TOT","PC_LF","M","2014-08",7.378685,"E"
"OECD","HUR","TOT","PC_LF","M","2014-09",7.311364,"E"
"OECD","HUR","TOT","PC_LF","M","2014-10",7.274825,"E"
"OECD","HUR","TOT","PC_LF","M","2014-11",7.283517,"E"
"OECD","HUR","TOT","PC_LF","M","2014-12",7.142428,"E"
"OECD","HUR","TOT","PC_LF","M","2015-01",7.154854,"E"
"OECD","HUR","TOT","PC_LF","M","2015-02",7.09816,"E"
"OECD","HUR","TOT","PC_LF","M","2015-03",7.035024,"E"
"OECD","HUR","TOT","PC_LF","M","2015-04",7.030359,"E"
"OECD","HUR","TOT","PC_LF","M","2015-05",7.015102,"E"
"OECD","HUR","TOT","PC_LF","M","2015-06",6.899933,"E"
"OECD","HUR","TOT","PC_LF","M","2015-07",6.818084,"E"
"OECD","HUR","TOT","PC_LF","M","2015-08",6.772045,"E"
"OECD","HUR","TOT","PC_LF","M","2015-09",6.749801,"E"
"OECD","HUR","TOT","PC_LF","M","2015-10",6.730818,"E"
"OECD","HUR","TOT","PC_LF","M","2015-11",6.65159,"E"
"OECD","HUR","TOT","PC_LF","M","2015-12",6.68752,"E"
